Player,Name,Position,Team,Opp,Manager,Tackles_Tot,Tackles_Ast,Tackles_Sck,Tackles_TFL,Turnover_Int,Turnover_Frc Fum,Turnover_Fum Rec,Score_Int TD,Score_FumTD,Score_Blk TD,Score_Saf,Score_Def 2pt Ret,Other_Blk,Other_PDef,Other_QB Hit,Return_Int Yds,Fantasy_Points
Lonnie Johnson DB - NO,Lonnie Johnson,DB,NO,TEN,FA,1.0,,,,,,,,,,,,,,,,1.0
Quentin Lake DB - LA,Quentin Lake,DB,LA,@SEA,FA,1.0,,,,,,,,,,,,,,,,1.0
Dallin Leavitt DB - GB,Dallin Leavitt,DB,GB,@CHI,W (Oct 4),1.0,,,,,,,,,,,,,,,,1.0
Christian Matthew DB - ARI,Christian Matthew,DB,ARI,@WAS,FA,1.0,,,,,,,,,,,,,,,,1.0
Nick McCloud DB - NYG,Nick McCloud,DB,NYG,DAL,FA,1.0,,,,,,,,,,,,,,,,1.0
Jalen Mills DB - NE,Jalen Mills,DB,NE,PHI,FA,1.0,,,,,,,,,,,,,,,,1.0
Siran Neal DB - BUF View News,Siran Neal,DB,BUF,@NYJ,FA,1.0,,,,,,,,,,,,,,,,1.0
Joey Porter Jr. DB - PIT,Joey Porter Jr.,DB,PIT,SF,FA,1.0,,,,,,,,,,,,,,,,1.0
Kelee Ringo DB - PHI,Kelee Ringo,DB,PHI,@NE,FA,1.0,,,,,,,,,,,,,,,,1.0
Ja'Sir Taylor DB - LAC,Ja'Sir Taylor,DB,LAC,MIA,FA,,,,,,,,,,,,,,1.0,,,1.0
Daniel Thomas DB - JAX,Daniel Thomas,DB,JAX,@IND,FA,1.0,,,,,,,,,,,,,,,,1.0
Kindle Vildor DB - TEN,Kindle Vildor,DB,TEN,@NO,FA,1.0,,,,,,,,,,,,,,,,1.0
Samuel Womack DB - SF IR,Samuel Womack,DB,SF,@PIT,FA,1.0,,,,,,,,,,,,,,,,1.0
Jordan Battle DB - CIN,Jordan Battle,DB,CIN,@CLE,FA,,1.0,,,,,,,,,,,,,,,0.5
Dane Belton DB - NYG,Dane Belton,DB,NYG,DAL,FA,,1.0,,,,,,,,,,,,,,,0.5
Kris Boyd DB - ARI,Kris Boyd,DB,ARI,@WAS,FA,,1.0,,,,,,,,,,,,,,,0.5
Antonio Hamilton DB - ARI,Antonio Hamilton,DB,ARI,@WAS,FA,,1.0,,,,,,,,,,,,,,,0.5
Christian Holmes DB - WAS,Christian Holmes,DB,WAS,ARI,FA,,1.0,,,,,,,,,,,,,,,0.5
