Player,Name,Position,Team,Opp,Manager,Tackles_Tot,Tackles_Ast,Tackles_Sck,Tackles_TFL,Turnover_Int,Turnover_Frc Fum,Turnover_Fum Rec,Score_Int TD,Score_FumTD,Score_Blk TD,Score_Saf,Score_Def 2pt Ret,Other_Blk,Other_PDef,Other_QB Hit,Return_Int Yds,Fantasy_Points
Jadeveon Clowney LB - BAL,Jadeveon Clowney,LB,BAL,TB,FA,,,,,,,,,,,,,,,,,0.0
Dylan Cole LB - CHI,Dylan Cole,LB,CHI,@NYJ,FA,3.0,2.0,,1.0,,,,,,,,,,,,,0.0
Zaven Collins LB - ARI,Zaven Collins,LB,ARI,LAC,FA,2.0,1.0,,1.0,,,,,,,,,,,,,0.0
Ryan Connelly LB - NO O,Ryan Connelly,LB,NO,@SF,FA,,,,,,,,,,,,,,,,,0.0
Jonathon Cooper LB - DEN,Jonathon Cooper,LB,DEN,@CAR,FA,1.0,1.0,,,,,,,,,,,,,,,0.0
Carter Coughlin LB - NYG,Carter Coughlin,LB,NYG,@DAL,FA,,,,,,,,,,,,,,,,,0.0
Jabril Cox LB - WAS,Jabril Cox,LB,WAS,NYG,FA,,,,,,,,,,,,,,,,,0.0
Tae Crowder LB,Tae Crowder,LB,,@IND,FA,,,,,,,,,,,,,,,,,0.0
Zach Cunningham LB - PHI,Zach Cunningham,LB,PHI,CIN,FA,,,,,,,,,,,,,,,,,0.0
Marcus Davenport LB - MIN Q View News,Marcus Davenport,LB,MIN,NE,FA,1.0,2.0,,,,,,,,,,,,,,,0.0
Lavonte David LB - TB,Lavonte David,LB,TB,@CLE,Wbn Beasts,5.0,3.0,,1.0,,,,,,,,,,,,,0.0
Demario Davis LB - NO,Demario Davis,LB,NO,@SF,St Quintin Heidschnucken,2.0,6.0,,,,,,,,,,,,1.0,,,0.0
Jamin Davis LB - WAS,Jamin Davis,LB,WAS,ATL,dirty birds,6.0,4.0,,,,,,,,,,,,,,,0.0
Jarrad Davis LB - NYG IR,Jarrad Davis,LB,NYG,@DAL,FA,,,,,,,,,,,,,,,,,0.0
Tae Davis LB - ATL,Tae Davis,LB,ATL,@WAS,FA,,,,,,,,,,,,,,,,,0.0
Akeem Davis-Gaither LB - CIN Q View News,Akeem,Davis,Gaither,@TEN,FA,,2.0,,,,,,,,,,,,,,,0.0
Divine Deablo LB - LV,Divine Deablo,LB,LV,@SEA,Bad Wildcats Hunschat,,,,,,,,,,,,,,,,,0.0
Nakobe Dean LB - PHI IR,Nakobe Dean,LB,PHI,GB,FA,1.0,,,,,,,,,,,,,,,,0.0
Kuony Deng LB,Kuony Deng,LB,,Bye,FA,,,,,,,,,,,,,,,,,0.0
SirVocea Dennis LB - TB O View News,SirVocea Dennis,LB,TB,Bye,FA,,,,,,,,,,,,,,,,,0.0
Victor Dimukeje LB - ARI,Victor Dimukeje,LB,ARI,LAC,FA,,,,,,,,,,,,,,,,,0.0
De'Shaan Dixon LB - JAX,De'Shaan Dixon,LB,JAX,BAL,FA,,,,,,,,,,,,,,,,,0.0
Tyrel Dodson LB - BUF,Tyrel Dodson,LB,BUF,@DET,FA,,,,,,,,,,,,,,,,,0.0
JoJo Domann LB Q,JoJo Domann LB,Q,,PIT,FA,,,,,,,,,,,,,,,,,0.0
Andrew Dowell LB - NO IR,Andrew Dowell,LB,NO,@SF,FA,,,,,,,,,,,,,,,,,0.0
Bud Dupree LB - ATL,Bud Dupree,LB,ATL,@WAS,FA,2.0,,,,,,,,,,,,,,1.0,,0.0
