Player,Name,Position,Team,Opp,Manager,Passing_Comp,Passing_Yds,Passing_TD,Passing_Int,Rushing_Yds,Rushing_TD,Receiving_Rec,Receiving_Yds,Receiving_TD,Return_Yds,Return_TD,Misc_FumTD,Misc_2PT,Fumble_Lost,Fumble_Fum,Fantasy_Points
Princeton Fant TE - DAL,Princeton Fant,TE,DAL,Bye,FA,,,,,,,,,,,,,,,,0.0
Luke Farrell TE - JAX,Luke Farrell,TE,JAX,@IND,FA,,,,,,,1.0,11.0,,,,,,,,0.0
Jake Ferguson TE - DAL,Jake Ferguson,TE,DAL,@PHI,FA,,,,,,,4.0,40.0,1.0,,,,,,,0.0
Anthony Firkser TE,Anthony Firkser,TE,,SF,FA,,,,,,,,,,,,,,,,0.0
Tucker Fisk TE - ATL,Tucker Fisk,TE,ATL,Bye,FA,,,,,,,,,,,,,,,,0.0
John FitzPatrick TE - ATL,John FitzPatrick,TE,ATL,SF,FA,,,,,,,,,,,,,,,,0.0
Miller Forristall TE - LA,Miller Forristall,TE,LA,CIN,FA,,,,,,,,,,,,,,,,0.0
Jody Fortson TE - KC IR,Jody Fortson,TE,KC,BUF,FA,,,,,,,,,,,,,,,,0.0
Cole Fotheringham TE - LV,Cole Fotheringham,TE,LV,Bye,FA,,,,,,,,,,,,,,,,0.0
Feleipe Franks TE - ATL IR,Feleipe Franks,TE,ATL,SF,FA,,,,,,,,,,,,,,,,0.0
Pat Freiermuth TE - PIT,Pat Freiermuth,TE,PIT,TB,St Quintin Heidschnucken,,,,,,,,,,,,,,,,0.0
Izaiah Gathings TE,Izaiah Gathings,TE,,Bye,FA,,,,,,,,,,,,,,,,0.0
Zach Gentry TE - CIN,Zach Gentry,TE,CIN,TB,FA,,,,,,,1.0,4.0,,,,,,,,0.0
Mike Gesicki TE - NE,Mike Gesicki,TE,NE,@CLE,FA,,,,,,,6.0,69.0,2.0,,,,,,,0.0
Reggie Gilliam TE - BUF,Reggie Gilliam,TE,BUF,@KC,FA,,,,,,,3.0,18.0,,,,,,,,0.0
Noah Gindorff TE,Noah Gindorff,TE,,Bye,FA,,,,,,,,,,,,,,,,0.0
Dallas Goedert TE - PHI,Dallas Goedert,TE,PHI,DAL,Koblenz 87ers,,,,,,,2.0,22.0,,,,,,,,0.0
Jimmy Graham TE - NO,Jimmy Graham,TE,NO,Bye,FA,,,,,,,,,,,,,,,,0.0
Kylen Granson TE - IND,Kylen Granson,TE,IND,JAX,FA,,,,,,,4.0,38.0,,,,,,,1.0,0.0
Noah Gray TE - KC View News,Noah Gray,TE,KC,BUF,FA,,,,,,,3.0,13.0,,,,,,,,0.0
Thomas Greaney TE,Thomas Greaney,TE,,Bye,FA,,,,,,,,,,,,,,,,0.0
Seth Green TE,Seth Green,TE,,Bye,FA,,,,,,,,,,,,,,,,0.0
Nick Guggemos TE,Nick Guggemos,TE,,NYJ,FA,,,,,,,,,,,,,,,,0.0
Jacob Harris TE - JAX,Jacob Harris,TE,JAX,CAR,FA,,,,,,,,,,,,,,,,0.0
Griffin Hebert TE,Griffin Hebert,TE,,Bye,FA,,,,,,,,,,,,,,,,0.0
Peyton Hendershot TE - DAL Q View News,Peyton Hendershot,TE,DAL,@PHI,FA,,,,,,,2.0,22.0,,,,,,,,0.0
Hunter Henry TE - NE,Hunter Henry,TE,NE,@CLE,FlyRamsFly,,,,,,,4.0,61.0,1.0,,,,,,,0.0
Parker Hesse TE - ATL,Parker Hesse,TE,ATL,SF,FA,,,,,,,,,,,,,,,,0.0
Connor Heyward TE - PIT,Connor Heyward,TE,PIT,TB,FA,,,,,,,2.0,49.0,,,,,,,,0.0
Tyler Higbee TE - LA Q View News,Tyler Higbee,TE,LA,CAR,Boppard Raiders,,,,,,,1.0,7.0,,,,,,,,0.0
Julian Hill TE - MIA,Julian Hill,TE,MIA,Bye,FA,,,,,,,,,,,,,,,,0.0
Taysom Hill TE - NO,Taysom Hill,TE,NO,CIN,St Quintin Heidschnucken,2.0,16.0,,,39.0,,,,,,,,,,,0.0
